Date,Ticker,Trade Type,Shares Bought,Shares Sold,Price,RSI Value,Volume,Profit
2017-10-16,CL,9,0,266.0,75.70999908447266,69.43933943406054,2229600,936.3201217651367
2017-10-16,WBA,0,303.0,0,67.68999862670898,15.59029115619623,6415700,0
2017-11-02,FB,9,0,122.0,179.63999938964844,59.81335624899082,35529900,1891.0
2017-11-02,MRK,0,390.0,0,52.77194786071777,15.213223009855696,12909788,0
2017-11-03,SYY,9,0,386.0,56.53999900817871,76.33503884135939,4343600,2229.1498527526855
2017-11-03,PG,0,237.0,0,86.81000137329102,30.399804229769487,5106500,0
2017-11-09,SBUX,9,0,375.0,57.22500038146973,65.6110197201731,14778900,1091.249942779541
2017-11-09,VZ,0,462.0,0,45.1200008392334,22.8533407365844,21078700,0
2017-11-13,COST,9,0,123.0,171.8699951171875,71.38594382462068,4093300,1501.2152252197266
2017-11-13,PM,0,204.0,0,103.40999984741211,32.75641079158696,3864600,0
2017-11-13,DIS,9,0,205.0,104.56000137329102,72.40099891399696,7856000,1449.3507194519043
2017-11-13,BKNG,0,11.0,0,1702.8150024414062,33.83888957893794,506800,0
2017-11-30,VZ,9,0,462.0,50.540000915527344,75.13166779635102,33268500,2504.0400352478027
2017-11-30,ADSK,0,201.0,0,109.06000137329102,27.172439935450782,8481000,0
2017-12-04,MO,9,0,323.0,69.40999984741211,75.59762376602438,9630900,2328.829704284668
2017-12-04,GE,0,158.0,0,138.23077392578125,30.340060408513494,8885227,0
2017-12-05,T,9,0,502.0,36.90500068664551,61.95771658113468,33055400,624.990421295166
2017-12-05,NVDA,0,461.0,0,46.65999984741211,34.45452613799678,98148800,0
2018-01-09,NVDA,9,0,461.0,55.3075008392334,71.93843639835123,49700000,3986.4979572296143
2018-01-09,DUK,0,284.0,0,81.49499893188477,20.738712434292367,2781700,0
2018-01-11,BKNG,9,0,11.0,1889.3699951171875,72.74516420624622,385900,2052.1049194335938
