Date,Open,High,Low,Close,Adj Close,Volume,Up Move,Down Move,Average Up,Average Down,Relative Strength,RSI
5/5/2017,239.1900024,239.7200012,238.6799927,239.6999969,221.8187103,62001300,0.940002441,0,0.477652014,0.254476355,1.876999593,65.24156617
5/8/2017,239.75,239.9199982,239.1699982,239.6600037,221.7816467,48385700,0,0.039993286,0.443534013,0.239156136,1.854579278,64.96856796
5/9/2017,239.9600067,240.1900024,239.0399933,239.4400024,221.5780792,51363200,0,0.220001221,0.411853012,0.237787927,1.732018177,63.39702244
5/10/2017,239.3899994,239.8699951,239.1499939,239.8699951,221.9759979,54293800,0.429992676,0,0.413148703,0.220803075,1.871118425,65.17036736
5/11/2017,239.3500061,239.5700073,238.1300049,239.3800049,221.5225525,62358300,0,0.489990234,0.383638081,0.24003073,1.598287359,61.51310992
5/12/2017,239.0899963,239.4299927,238.6699982,238.9799957,221.1524048,53912700,0,0.400009155,0.356235361,0.25145776,1.416680722,58.62093031
5/15/2017,239.4700012,240.4400024,239.4499969,240.3000031,222.3739471,61918900,1.320007324,0,0.425076215,0.233496491,1.820482239,64.54507012
5/16/2017,240.6399994,240.6699982,239.6300049,240.0800018,222.1703339,51241800,0,0.220001221,0.394713629,0.232532544,1.69745543,62.9280251
5/17/2017,240.0800018,240.0800018,235.75,235.8200073,218.2281342,172174100,0,4.259994507,0.366519798,0.520208398,0.704563401,41.33395099
5/18/2017,235.7299957,237.75,235.4299927,236.7700043,219.1072693,107047700,0.949996948,0,0.408196737,0.483050655,0.845039196,45.80060942
5/19/2017,237.3300018,239.0800018,237.2700043,238.3099976,220.5323792,115011400,1.539993286,0,0.489039348,0.448547037,1.090274392,52.15939094
5/22/2017,238.8999939,239.7100067,238.8200073,239.5200043,221.6520996,61010600,1.210006714,0,0.540537017,0.416507963,1.297783152,56.4797923
5/23/2017,239.9499969,240.2400055,239.5099945,240.0500031,222.1426239,48341700,0.529998779,0,0.539784286,0.386757394,1.395666363,58.25796048
5/24/2017,240.3200073,240.7299957,239.9299927,240.6100006,222.6607971,46927700,0.559997559,0,0.541228091,0.359131866,1.507045579,60.11241245
5/25/2017,241.1999969,242.0800018,240.9600067,241.7599945,223.7250061,64071700,1.149993896,0,0.584711363,0.33347959,1.753364765,63.68080202
5/26/2017,241.5399933,241.8999939,241.4499969,241.7100067,223.678772,46629900,0,0.049987793,0.542946265,0.313230176,1.733377903,63.4152307
5/30/2017,241.3399963,241.7899933,241.1600037,241.5,223.4843903,35201900,0,0.210006714,0.504164389,0.305857071,1.648365973,62.24086814
5/31/2017,241.8399963,241.8800049,240.6399994,241.4400024,223.428894,91796000,0,0.059997559,0.468152647,0.288295678,1.623862872,61.88825222
6/1/2017,241.9700012,243.3800049,241.6399994,243.3600006,225.205658,68962000,1.919998169,0,0.571855899,0.267703129,2.136156945,68.11384068
6/2/2017,243.4199982,244.3500061,243.0800018,244.1699982,225.9552307,88666100,0.809997559,0,0.588866017,0.248581477,2.368905455,70.31676866
6/5/2017,243.9700012,244.3000031,243.7599945,243.9900055,225.788681,44698800,0,0.179992676,0.546804159,0.243682277,2.24392256,69.17312354
6/6/2017,243.3399963,243.9799957,243.1199951,243.2100067,225.0668488,50375400,0,0.779998779,0.507746719,0.281990599,1.800580308,64.29311464
6/7/2017,243.6000061,243.9199982,242.8300018,243.6600037,225.4832916,54144300,0.449996948,0,0.503621735,0.261848413,1.923333159,65.7924723
6/8/2017,243.7700043,244.3300018,243.1699982,243.7799988,225.5943146,65950700,0.119995117,0,0.476219834,0.243144955,1.958584064,66.20004778
6/9/2017,244.0899963,245.0099945,241.9499969,243.4100037,225.2519531,132256400,0,0.369995117,0.442204132,0.252205681,1.753347229,63.68057071
6/12/2017,243.1300049,243.4199982,242.3800049,243.3600006,225.205658,86108100,0,0.050003052,0.410618122,0.237762636,1.727008622,63.32978224
6/13/2017,243.9799957,244.6100006,243.5800018,244.5500031,226.3068848,60067000,1.190002441,0,0.466288431,0.22077959,2.112008767,67.86641444
6/14/2017,244.8600006,244.8699951,243.2899933,244.2400055,226.0200195,78602300,0,0.309997559,0.432982114,0.227152302,1.906131303,65.58999247
6/15/2017,242.6799927,243.9100037,242.3600006,243.7700043,225.5850525,66464900,0,0.470001221,0.40205482,0.244498654,1.644405047,62.18431057
6/16/2017,242.7700043,242.8300018,241.6300049,242.6399994,225.6343689,84553100,0,1.130004883,0.373336619,0.307749099,1.213120105,54.81492406
6/19/2017,243.5899963,244.7299957,243.4799957,244.6600037,227.5127716,65123800,2.020004272,0,0.490955737,0.28576702,1.718027982,63.20862012
6/20/2017,244.25,244.2599945,242.9900055,243.0099945,225.9784241,56906400,0,1.650009155,0.45588747,0.383212887,1.189645457,54.33050603
6/21/2017,243.4600067,243.5899963,242.4100037,242.9499969,225.9226227,55977600,0,0.059997559,0.423324079,0.360126078,1.175488545,54.03331348
6/22/2017,242.9600067,243.5299988,242.6399994,242.8399963,225.820343,44148100,0,0.11000061,0.393086645,0.342259973,1.148503115,53.45596695
6/23/2017,242.9100037,243.5099945,242.4700012,243.1300049,226.0900726,66986800,0.290008545,0,0.385723924,0.317812832,1.213682661,54.8264068
6/26/2017,243.8999939,244.3800049,243.0500031,243.2899933,226.2388,56700500,0.159988403,0,0.369599958,0.295111916,1.252406082,55.60303234
6/27/2017,243.0399933,243.3800049,241.3099976,241.3300018,224.4161987,82247700,0,1.959991455,0.343199961,0.414031883,0.828921577,45.32296996
6/28/2017,242.5,243.7200012,242.2299957,243.4900055,226.4248047,70042600,2.160003662,0,0.472971654,0.384458177,1.230229145,55.16155807
6/29/2017,243.6600037,243.7200012,239.9600067,241.3500061,224.4347839,106949700,0,2.13999939,0.439187964,0.509853978,0.861399506,46.27698154
6/30/2017,242.2799988,242.7100067,241.5800018,241.8000031,224.8532257,86820700,0.449996948,0,0.439960035,0.473435836,0.929291787,48.16750859
7/3/2017,242.8800049,243.3800049,242.2100067,242.2100067,225.2344971,39153800,0.410003662,0,0.437820294,0.439618991,0.995908509,49.89750304
7/5/2017,242.6300049,243.0099945,241.6999969,242.7700043,225.7552643,54427600,0.559997559,0,0.446547241,0.408217634,1.093895029,52.24211405
7/6/2017,241.8899994,242.0299988,240.3399963,240.5500031,223.6908569,65400800,0,2.220001221,0.41465101,0.537630748,0.77125613,43.54289121
7/7/2017,241.2100067,242.2799988,240.5599976,242.1100006,225.1415253,57972300,1.559997559,0,0.496461477,0.499228551,0.9944573,49.86104742
7/10/2017,242.1100006,242.8000031,241.7599945,242.3699951,225.3832855,36663300,0.259994507,0,0.47957098,0.463569369,1.034518265,50.84831544
7/11/2017,242.3699951,242.5500031,240.8500061,242.1900024,225.2158966,50354600,0,0.179992676,0.44531591,0.443313891,1.004516029,50.11264637
7/12/2017,243.3000031,244.1999969,243.3000031,244.0099945,226.9083557,59610400,1.819992065,0,0.543507064,0.411648613,1.320317976,56.9024586
7/13/2017,244.0200043,244.5500031,243.7599945,244.4199982,227.2895966,39471600,0.410003662,0,0.533971106,0.382245141,1.396933667,58.28003029
7/14/2017,244.4199982,245.9700012,244.3099976,245.5599976,228.3497162,60262700,1.13999939,0,0.577258841,0.354941916,1.626347338,61.92430507
7/17/2017,245.4700012,245.9100037,245.3300018,245.5299988,228.3218079,33531900,0,0.029998779,0.536026067,0.331731692,1.615842197,61.77139426
7/18/2017,245.0599976,245.7200012,244.6699982,245.6600037,228.4427032,42742500,0.130004883,0,0.507024553,0.308036572,1.645988173,62.20693613
7/19/2017,246.0200043,247,246.0099945,246.9900055,229.6794739,51034300,1.330001831,0,0.565808645,0.286033959,1.978117025,66.4217359
7/20/2017,247.2799988,247.4199982,246.4700012,247.1000061,229.7817688,47135200,0.11000061,0,0.533250928,0.265602962,2.007699476,66.7519974
7/21/2017,246.4400024,246.9100037,246.1799927,246.8800049,229.5771942,82340800,0,0.220001221,0.495161576,0.262345695,1.887439304,65.36723738
7/24/2017,246.7899933,246.9799957,246.2799988,246.8200073,229.5214233,46622300,0,0.059997559,0.459792892,0.247892257,1.854809417,64.97139199
7/25/2017,247.6799927,247.8000031,247.1600037,247.4199982,230.0793304,54915600,0.599990845,0,0.469807031,0.230185667,2.040991682,67.11599029
7/26/2017,247.75,247.7899933,247.1300049,247.4299927,230.0886536,47575400,0.009994507,0,0.43696328,0.213743834,2.044331631,67.15206747
7/27/2017,247.9600067,248,245.6799927,247.1999969,229.8747406,70766600,0,0.229995728,0.405751617,0.214904683,1.888053862,65.37460699
7/28/2017,246.6499939,247.0599976,246.1300049,246.9100037,229.6051025,50088400,0,0.289993286,0.376769358,0.220268155,1.710503086,63.10647994
7/31/2017,247.3699951,247.4799957,246.5299988,246.7700043,229.4749298,65838700,0,0.13999939,0.349857261,0.214534672,1.630772588,61.9883526
8/1/2017,247.4600067,247.5,246.7200012,247.3200073,229.9863739,55050400,0.550003052,0,0.364153389,0.199210766,1.827980465,64.63907681
8/2/2017,247.4700012,247.6000061,246.3699951,247.4400024,230.0979767,47211200,0.119995117,0,0.346713513,0.184981426,1.874315278,65.20910536
8/3/2017,247.3099976,247.3399963,246.6399994,246.9600067,229.6516113,40856000,0,0.479995728,0.321948262,0.206053876,1.562447007,60.9748027
8/4/2017,247.5200043,247.7899933,246.9700012,247.4100037,230.0700531,60191800,0.449996948,0,0.331094597,0.191335742,1.730437779,63.37583637
8/7/2017,247.4900055,247.8699951,247.3699951,247.8699951,230.4977875,31995000,0.459991455,0,0.340301515,0.177668903,1.91536903,65.69902507
8/8/2017,247.5099945,248.9100037,246.8300018,247.2599945,229.9305725,61719400,0,0.61000061,0.315994264,0.20854974,1.515198555,60.24170744
8/9/2017,246.4700012,247.3099976,246.0599976,247.25,229.9212494,62632600,0,0.009994507,0.293423245,0.194367223,1.509633367,60.15354222
8/10/2017,246.2899933,246.4400024,243.6999969,243.7599945,226.6758881,120479500,0,3.490005493,0.272464442,0.429769957,0.633977405,38.79964333
8/11/2017,244.0200043,244.8000031,243.75,244.1199951,227.0106201,74869900,0.36000061,0,0.278717025,0.399072102,0.698412702,41.12149545
8/14/2017,245.5899963,246.7899933,245.5500031,246.5399933,229.2610321,73291900,2.419998169,0,0.431665678,0.370566952,1.164879048,53.80804294
8/15/2017,246.9799957,247,246.1600037,246.5099945,229.233139,55242700,0,0.029998779,0.400832416,0.346240654,1.157669993,53.65370964
8/16/2017,247.1100006,247.5700073,246.4499969,246.9400024,229.6329651,56715500,0.430007935,0,0.402916381,0.321509179,1.253203354,55.61874172
8/17/2017,246.2400055,246.6000061,243.0899963,243.0899963,226.0528259,128490400,0,3.850006104,0.37413664,0.573544674,0.652323449,39.47916188
8/18/2017,242.8999939,244.1900024,242.1999969,242.7100067,225.6994934,136748000,0,0.379989624,0.347412594,0.559719313,0.620690739,38.29791362
8/21/2017,242.6399994,243.1999969,241.8300018,242.8999939,225.8761597,65469700,0.189987183,0,0.336167922,0.519739362,0.646800967,39.27620763
8/22/2017,243.5700073,245.6199951,243.5500031,245.4400024,228.2381134,63140100,2.540008545,0,0.493585109,0.482615122,1.022730302,50.56187179
8/23/2017,244.3300018,245.0500031,244.1600037,244.5599976,227.4197845,50203800,0,0.880004883,0.45832903,0.511000105,0.896925511,47.28311711
8/24/2017,245,245.1799927,243.75,243.9900055,226.8897705,50741700,0,0.569992065,0.425591242,0.515213816,0.826047805,45.23692112
8/25/2017,244.8999939,245.6100006,244.3899994,244.5599976,227.4197845,64445900,0.569992065,0,0.435905587,0.478412829,0.911149451,47.67546831
8/28/2017,245.1699982,245.1999969,244.0899963,244.5700073,227.4290924,40565600,0.010009766,0,0.405484457,0.444240484,0.912758902,47.71949569
8/29/2017,243.0599976,245.1499939,242.9299927,244.8500061,227.6894531,51135700,0.279998779,0,0.396521194,0.412509021,0.961242478,49.01191408
8/30/2017,244.8300018,246.3200073,244.6199951,246.0099945,228.7681732,62030800,1.159988403,0,0.451054566,0.383044091,1.177552602,54.07688433
8/31/2017,246.7200012,247.7700043,246.0500031,247.4900055,230.144455,103803900,1.480010986,0,0.524551453,0.355683799,1.474769036,59.59218879
9/1/2017,247.9199982,248.3300018,247.6699982,247.8399963,230.4699097,62007000,0.349990845,0,0.512082838,0.330277813,1.550460908,60.79140061
9/5/2017,247.2599945,247.5200043,244.9499969,246.0599976,228.8146667,91398800,0,1.779998779,0.475505493,0.433829311,1.096065851,52.29157521
9/6/2017,246.8399963,247.2799988,246.2299957,246.8999939,229.5957794,57916900,0.839996338,0,0.501540553,0.402841503,1.245007154,55.4567121
9/7/2017,247.25,247.2700043,246.3999939,246.8699951,229.5678711,58034700,0,0.029998779,0.465716228,0.37620988,1.237915995,55.31557029
9/8/2017,246.5399933,247.1100006,246.3000031,246.5800018,229.2982178,63832800,0,0.289993286,0.432450783,0.370051552,1.168623077,53.88779126
9/11/2017,248.0399933,249.3000031,248.0200043,249.2100067,231.7438812,71364800,2.630004883,0,0.589418933,0.343619298,1.715325468,63.17200233
9/12/2017,249.6300049,250.0899963,249.4199982,250.0500031,232.5250397,56896000,0.839996338,0,0.607317319,0.319075062,1.903368174,65.55724455
9/13/2017,249.7200012,250.2100067,249.5899963,250.1699982,232.6366119,59228000,0.119995117,0,0.57250859,0.296283987,1.932296771,65.89703982
9/14/2017,249.8000031,250.3200073,249.6000061,250.0899963,232.5622253,95446300,0,0.080001831,0.53161512,0.280835261,1.892978529,65.4335492
9/15/2017,248.6900024,249.2899933,248.5700073,249.1900024,232.8752747,95432400,0,0.899993896,0.493642611,0.325060878,1.51861588,60.29565254
9/18/2017,249.6100006,250.1199951,249.2799988,249.7200012,233.370636,46235200,0.529998779,0,0.49623948,0.301842244,1.644035884,62.1790307
9/19/2017,250,250.0700073,249.6000061,249.9700012,233.6042328,47108100,0.25,0,0.478650946,0.280282084,1.707747209,63.06893064
9/20/2017,250.0700073,250.1900024,248.9199982,250.0599976,233.6883087,59574100,0.089996338,0,0.450889902,0.260261935,1.732446595,63.40276139
9/21/2017,249.8800049,249.9799957,249.1900024,249.3899994,233.0621948,48211400,0,0.669998169,0.418683481,0.289528809,1.446085738,59.11835859
9/22/2017,249.0500031,249.6300049,249.0200043,249.4400024,233.1089172,51214000,0.050003052,0,0.392349165,0.268848179,1.459370733,59.33919247
9/25/2017,249.1499939,249.5500031,248.0800018,248.9299927,232.6323242,57064400,0,0.510009766,0.364324224,0.286074007,1.273531378,56.01556196
9/26/2017,249.4199982,249.6999969,248.8099976,249.0800018,232.772522,54082000,0.150009155,0,0.349016005,0.265640149,1.313867673,56.78231683
9/27/2017,249.8800049,250.4900055,248.8699951,250.0500031,233.6790009,81001400,0.970001221,0,0.393372092,0.246665853,1.594756984,61.46074542
9/28/2017,249.7299957,250.4400024,249.6300049,250.3500061,233.9593353,44778800,0.300003052,0,0.386702875,0.229046863,1.688313338,62.8019552
9/29/2017,250.3399963,251.3200073,250.1300049,251.2299957,234.781723,85578000,0.879989624,0,0.421937642,0.212686373,1.98384897,66.48623942
10/2/2017,251.4900055,252.3200073,251.2899933,252.3200073,235.8003693,59023000,1.090011597,0,0.469657211,0.197494489,2.378077545,70.39736399
10/3/2017,252.3200073,252.8899994,252.2299957,252.8600006,236.3050232,66810200,0.539993286,0,0.474681216,0.18338774,2.588402123,72.1324432
10/4/2017,252.6900024,253.4400024,252.5599976,253.1600037,236.5854034,55953600,0.300003052,0,0.462204204,0.170288616,2.714240185,73.07659305
10/5/2017,253.5399933,254.6799927,253.1999969,254.6600037,237.9871674,63522800,1.5,0,0.536332475,0.158125143,3.391822857,77.23041132
10/6/2017,254.1499939,254.6999969,253.8500061,254.3699951,237.7161713,80646000,0,0.290008545,0.498023013,0.167545386,2.972466291,74.82672157
